EPIC,SUB-EPIC,API 명칭,엔드포인트,메서드,사용 계층,구현,연동,설명,우선순위,테스트,노트
Doc PR 기반 문서 관리,DocumentLion,검토 근거 조회,GET /doc-prs/{prId}/review/evidence,GET,"AI(CIO), C",시작 전,시작 전,DocumentLion의 검토 결과·판단 근거를 조회한다.,2,미진행,
Doc PR 기반 문서 관리,DocumentLion,리뷰 코멘트 등록,POST /doc-prs/{prId}/review/comments,POST,"AI(CIO), C",시작 전,시작 전,검토 근거를 Doc PR에 리뷰 코멘트로 등록한다.,2,미진행,
Doc PR 기반 문서 관리,DocumentLion,협업 규칙 위반 검토 요청,POST /doc-prs/{prId}/review/charter-violation,POST,AI(CIO),시작 전,시작 전,Team Collaboration Charter 위반 여부를 검토한다.,2,미진행,
Doc PR 기반 문서 관리,DocumentLion,정합성 검토 요청,POST /doc-prs/{prId}/review/consistency,POST,AI(CIO),시작 전,시작 전,기존 Merge 결정과의 모순 여부를 검토한다.,2,미진행,
Doc PR 기반 문서 관리,DocumentLion,문서 충돌 검토 요청,POST /doc-prs/{prId}/review/conflict,POST,AI(CIO),시작 전,시작 전,연결 문서와의 상충 여부를 검토한다.,2,미진행,
언어 보더 해소,Dev-aware Translation,개발 요소 보존 번역 요청,POST /documents/{documentId}/translations,POST,AI(CIO),시작 전,시작 전,코드블록·API명·변수명은 보존하고 나머지만 번역한다.,3,미진행,
언어 보더 해소,Dev-aware Translation,번역 결과 원문 대조 조회,GET /documents/{documentId}/translations/{translationId},GET,전체,시작 전,시작 전,번역 결과와 원문을 대조하여 조회한다.,3,미진행,
문화 보더 해소,Team Collaboration Charter,협업 규칙 수정·채택,PUT /teams/{teamId}/charter,PUT,"전체, 팀 관리자",시작 전,시작 전,초안을 수정해 프로젝트 공식 규칙으로 확정한다.,4,미진행,
문화 보더 해소,Team Collaboration Charter,협업 규칙 초안 생성 요청,POST /teams/{teamId}/charter/draft,POST,AI(CIO),시작 전,시작 전,"팀 생성 초기 1회, 팀원 협업 방식을 분석해 규칙 초안을 생성한다.",4,미진행,
지리 보더 해소,Follow-the-Sun 워크플로우,다음 작업자 정보 조회,GET /doc-prs/{prId}/next-assignee,GET,전체,시작 전,시작 전,다음 작업자가 필요한 상태와 인수인계 정보 위치를 조회한다.,4,미진행,
조직 보더 해소,RACI 역할 추천,RACI 역할 지정/변경,PUT /documents/{documentId}/raci,PUT,팀 관리자,시작 전,시작 전,문서 또는 Doc PR마다 R/A/C/I 역할과 지정 참여자를 지정·변경한다.,2,미진행,
조직 보더 해소,RACI 역할 추천,내 접근 권한 조회,GET /documents/{documentId}/my-permissions,GET,전체,시작 전,시작 전,현재 사용자의 RACI 역할별 열람 범위·허용 행동을 조회한다. 이 결과를 모든 API가 공통으로 적용한다.,2,미진행,
계정 및 팀 관리,계정 관리,회원가입,POST /auth/signup,POST,전체,완료,시작 전,이메일/비밀번호(또는 SSO)로 새 계정을 생성한다.,1,미진행,
계정 및 팀 관리,계정 관리,로그아웃,POST /auth/logout,POST,전체,완료,시작 전,현재 세션(토큰)을 무효화한다.,1,미진행,
계정 및 팀 관리,계정 관리,개인 프로필 설정,PATCH /users/me,PATCH,전체,완료,시작 전,이름·시간대·선호 언어 등 개인 정보를 수정한다.,3,미진행,
계정 및 팀 관리,계정 관리,로그인,POST /auth/login,POST,전체,완료,시작 전,계정 정보로 인증하여 액세스 토큰을 발급받는다.,1,미진행,
계정 및 팀 관리,팀 관리,팀원 초대,POST /teams/{teamId}/invitations,POST,팀 관리자,완료,시작 전,이메일로 팀원을 초대한다.,2,미진행,
계정 및 팀 관리,팀 관리,팀 생성,POST /teams,POST,전체,완료,시작 전,새로운 협업 팀 공간을 생성한다.,1,미진행,
계정 및 팀 관리,팀 관리,팀원 목록 및 역할 조회,GET /teams/{teamId}/members,GET,전체,완료,시작 전,팀원과 RACI 역할을 조회한다.,2,미진행,
계정 및 팀 관리,팀 관리,팀원 추방/탈퇴,DELETE /teams/{teamId}/members/{memberId},DELETE,"전체, 팀 관리자",완료,시작 전,팀 관리자가 팀원을 제거하거나 본인이 탈퇴한다.,2,미진행,
비기능요구사항,성능,주요 조회 API 응답시간 기준,전역 성능 기준 (특정 엔드포인트 없음),,전체,시작 전,시작 전,"Document Graph, Doc PR 목록 등 주요 GET 엔드포인트는 평균 2초 이내 응답 (해커톤 기준 초안치).",5,,
비기능요구사항,성능,동시 사용자 처리 기준,전역 성능 기준 (특정 엔드포인트 없음),,전체,시작 전,시작 전,팀 규모 수준의 동시 접속에서 안정적으로 동작하는 성능 기준.,5,,
비기능요구사항,UI 다국어화,UI 다국어 리소스 조회,GET /i18n/messages,GET,전체,시작 전,시작 전,서비스 UI(메뉴·버튼 등) 다국어 문자열 리소스를 제공한다. 프론트엔드 정적 리소스로 대체 가능.,4,미진행,
비기능요구사항,인증·보안,인증/인가 미들웨어,전체 API 공통 적용 (특정 엔드포인트 없음),,전체,시작 전,시작 전,"모든 요청은 인증된 사용자만 수행 가능하며, RACI 권한에 따라 인가된 동작만 허용하는 공통 미들웨어.",1,,
비기능요구사항,인증·보안,감사 로그 조회,GET /teams/{teamId}/audit-logs,GET,팀 관리자,시작 전,시작 전,지정 참여자 전용 문서 접근 시도(성공/거부) 로그를 조회한다.,3,미진행,
